year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,19,"Engler, Emily",So,,7,,,,,0.00,2,2,,,,,,,0,,,,,,,,,,,,
2019-20,Villanova Wildcats,Chris McLain,Women's Soccer,34,"Morrissey, Emily",Fr,,2,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Villanova Wildcats,Chris McLain,Women's Soccer,34,"Morrissey, Emily",Fr,,2,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,9,"Boyd, Kayla",Sr,F,15,,15,1,1.00,3.00,18,6,,1,,,,,,,,,,,,,,,,,1
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,9,"Boyd, Kayla",Sr,F,15,,15,1,1.00,3.00,18,6,,1,,,,,,,,,,,,,,,,,1
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,21,"Williams, Imelda",Jr,,19,,,3,,6.00,13,6,,1,,,,,,,,,,,,,,,,,3
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,21,"Williams, Imelda",Jr,,19,,,3,,6.00,13,6,,1,,,,,,,,,,,,,,,,,3
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,18,"Haskins, Katie",Fr,D,20,,,1,,2.00,8,10,,,,,,,0,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,18,"Haskins, Katie",Fr,D,20,,,1,,2.00,8,10,,,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,27,"Anschutz, Sarah",So,M,17,,,,,0.00,12,8,,,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,27,"Anschutz, Sarah",So,M,17,,,,,0.00,12,8,,,,,,,0,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,26,"Golob, Lana",So,D,16,,,2,,4.00,6,14,,2,,,,,,,,,,,,,,,,,1
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,26,"Golob, Lana",So,D,16,,,2,,4.00,6,14,,2,,,,,,,,,,,,,,,,,1
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,1,"Gesell, Kezia",Jr,,7,,,,,0.00,,,,,,4,3,493:55,13,2.369,27,0.675,,,,4,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,1,"Gesell, Kezia",Jr,,7,,,,,0.00,,,,,,4,3,493:55,13,2.369,27,0.675,,,,4,,,,,
2019-20,Villanova Wildcats,Chris McLain,Women's Soccer,0,"Isola, Gabrielle",Jr,,1,,,,,0.00,,,,,,,,45:00,1,2.000,2,0.667,,,,,,,,,
2019-20,Villanova Wildcats,Chris McLain,Women's Soccer,0,"Isola, Gabrielle",Jr,,1,,,,,0.00,,,,,,,,45:00,1,2.000,2,0.667,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,24,"Kerr, Alex",Fr,M,14,,14,2,1.00,5.00,10,6,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,24,"Kerr, Alex",Fr,M,14,,14,2,1.00,5.00,10,6,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,13,"Merrill, Kanya",Sr,,19,,,,2.00,2.00,20,7,,1,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,13,"Merrill, Kanya",Sr,,19,,,,2.00,2.00,20,7,,1,,,,,,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,1,"Jara, Allie",Sr,GK,19,,,,,0.00,,1,,,,1,,1584:16,21,1.193,61,0.744,5,1,10,5,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,1,"Jara, Allie",Sr,GK,19,,,,,0.00,,1,,,,1,,1584:16,21,1.193,61,0.744,5,1,10,5,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,11,"Hammond, Onika",Jr,M,16,,,,,0.00,1,4,,2,,,,,,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,11,"Hammond, Onika",Jr,M,16,,,,,0.00,1,4,,2,,,,,,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,13,"McAdams, Elle",Jr,M,16,,,,1.00,1.00,1,12,,1,,,,,0,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,13,"McAdams, Elle",Jr,M,16,,,,1.00,1.00,1,12,,1,,,,,0,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,14,"Flynn, Peyto",So,,6,,,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,14,"Flynn, Peyto",So,,6,,,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,11,"Ellis, Paola",Jr,M,14,,14,5,,10.00,18,6,,,,,,,,,,,,,,,,,,1,2
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,11,"Ellis, Paola",Jr,M,14,,14,5,,10.00,18,6,,,,,,,,,,,,,,,,,,1,2
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,26,"Wynn, Kathry",Fr,,19,,,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,26,"Wynn, Kathry",Fr,,19,,,,,0.00,,2,,,,,,,,,,,,,,,,,,,
